DateTime,Level,Message
2023-09-13 16:37:22.798 +01:00,[INF],Executing {"LogLevel":"Information","$type":"Spike"}
2023-09-13 16:43:05.799 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: SC271389, SicCode: 7011
2023-09-13 16:43:05.932 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: OC316197
2023-09-13 16:43:06.218 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 03452002, SicCode: 7487
2023-09-13 16:43:06.283 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 03744679, SicCode: 7020
2023-09-13 16:43:06.434 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 02476647, SicCode: 7020
2023-09-13 16:43:06.439 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 02476647, SicCode: 7415
2023-09-13 16:43:06.554 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 02247762, SicCode: 7415
2023-09-13 16:43:06.599 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 03601127, SicCode: 7499
2023-09-13 16:43:06.636 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 03601121, SicCode: 7499
2023-09-13 16:43:06.855 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 02955524, SicCode: 9999
2023-09-13 16:43:07.360 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 09578020
2023-09-13 16:43:07.526 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: OC388997
2023-09-13 16:43:07.646 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: OC350974
2023-09-13 16:43:07.835 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: OC322013
2023-09-13 16:43:07.880 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: OC305610
2023-09-13 16:43:08.347 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: FC024187
2023-09-13 16:43:08.885 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: OC313497
2023-09-13 16:43:09.025 +01:00,[WRN],Ignoring: Company doesn't have any SIC Codes - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: FC019077
2023-09-13 16:43:09.116 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 02633167, SicCode: 2213
2023-09-13 16:43:09.160 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 02587209, SicCode: 5227
2023-09-13 16:43:09.199 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 02587209, SicCode: 5227
2023-09-13 16:43:09.379 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 01763101, SicCode: 7499
2023-09-13 16:43:09.560 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 05172187, SicCode: 6603
2023-09-13 16:43:09.619 +01:00,[WRN],Ignoring: SIC Code not recognised - PoliticalWing: "Right", ThinkTank: Centre for Policy Studies, CompanyNumber: 05167938, SicCode: 7415
