PoliticalWing,SicCode,SicCodeCategory,SicCodeDescription,Count
Left,74990,"Professional, scientific and technical activities",Non-trading company non trading,55
Left,85590,Education,Other education n.e.c.,43
Left,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,28
Left,70100,"Professional, scientific and technical activities",Activities of head offices,24
Left,82990,Administrative and support service activities,Other business support service activities n.e.c.,22
Left,90030,"Arts, entertainment and recreation",Artistic creation,17
Left,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.,16
Left,99999,Activities of extraterritorial organisations and bodies,Dormant Company,15
Left,59111,Information and communication,Motion picture production activities,14
Left,96090,Other service activities,Other service activities n.e.c.,13
Left,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",11
Left,94110,Other service activities,Activities of business and employers membership organisations,10
Left,90040,"Arts, entertainment and recreation",Operation of arts facilities,10
Left,59113,Information and communication,Television programme production activities,9
Left,91030,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,8
Left,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,7
Left,94990,Other service activities,Activities of other membership organisations n.e.c.,7
Left,51101,Transportation and storage,Scheduled passenger air transport,7
Left,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,7
Left,41100,Construction,Development of building projects,6
Left,68209,Real estate activities,Other letting and operating of own or leased real estate,5
Left,56210,Accommodation and food service activities,Event catering activities,5
Left,85421,Education,First-degree level higher education,5
Left,85422,Education,Post-graduate level higher education,5
Left,85600,Education,Educational support services,5
Left,86900,Human health and social work activities,Other human health activities,5
Left,94920,Other service activities,Activities of political organisations,5
Left,85310,Education,General secondary education,5
Left,85320,Education,Technical and vocational secondary education,5
Left,64999,Financial and insurance activities,Financial intermediation not elsewhere classified,5
Left,56101,Accommodation and food service activities,Licenced restaurants,4
Left,90010,"Arts, entertainment and recreation",Performing arts,4
Left,63990,Information and communication,Other information service activities n.e.c.,4
Left,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,4
Left,64191,Financial and insurance activities,Banks,4
Left,59132,Information and communication,Video distribution activities,4
Left,35140,"Electricity, gas, steam and air conditioning supply",Trade of electricity,4
Left,35230,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains,4
Left,55900,Accommodation and food service activities,Other accommodation,4
Left,59131,Information and communication,Motion picture distribution activities,4
Left,56302,Accommodation and food service activities,Public houses and bars,3
Left,86101,Human health and social work activities,Hospital activities,3
Left,70221,"Professional, scientific and technical activities",Financial management,3
Left,85520,Education,Cultural education,3
Left,72190,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,3
Left,91020,"Arts, entertainment and recreation",Museums activities,3
Left,58110,Information and communication,Book publishing,3
Left,73110,"Professional, scientific and technical activities",Advertising agencies,2
Left,62020,Information and communication,Information technology consultancy activities,2
Left,47789,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),2
Left,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet,2
Left,93290,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,2
Left,73200,"Professional, scientific and technical activities",Market research and public opinion polling,2
Left,20130,Manufacturing,Manufacture of other inorganic basic chemicals,2
Left,22290,Manufacturing,Manufacture of other plastic products,2
Left,60100,Information and communication,Radio broadcasting,2
Left,87300,Human health and social work activities,Residential care activities for the elderly and disabled,2
Left,94120,Other service activities,Activities of professional membership organisations,2
Left,59112,Information and communication,Video production activities,2
Left,65300,Financial and insurance activities,Pension funding,2
Left,58130,Information and communication,Publishing of newspapers,2
Left,78200,Administrative and support service activities,Temporary employment agency activities,1
Left,47820,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale via stalls and markets of textiles, clothing and footwear",1
Left,11050,Manufacturing,Manufacture of beer,1
Left,10710,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,1
Left,47210,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of fruit and vegetables in specialised stores,1
Left,58142,Information and communication,Publishing of consumer and business journals and periodicals,1
Left,93110,"Arts, entertainment and recreation",Operation of sports facilities,1
Left,03120,"Agriculture, Forestry and Fishing",Freshwater fishing,1
Left,36000,"Water supply, sewerage, waste management and remediation activities","Water collection, treatment and supply",1
Left,85200,Education,Primary education,1
Left,01500,"Agriculture, Forestry and Fishing",Mixed farming,1
Left,68320,Real estate activities,Management of real estate on a fee or contract basis,1
Left,91012,"Arts, entertainment and recreation",Archives activities,1
Left,94200,Other service activities,Activities of trade unions,1
Left,01610,"Agriculture, Forestry and Fishing",Support activities for crop production,1
Left,01629,"Agriculture, Forestry and Fishing",Support activities for animal production (other than farm animal boarding and care) n.e.c.,1
Left,71121,"Professional, scientific and technical activities",Engineering design activities for industrial process and production,1
Left,71129,"Professional, scientific and technical activities",Other engineering activities,1
Left,64303,Financial and insurance activities,Activities of venture and development capital companies,1
Left,74901,"Professional, scientific and technical activities",Environmental consulting activities,1
Left,66110,Financial and insurance activities,Administration of financial markets,1
Left,64205,Financial and insurance activities,Activities of financial services holding companies,1
Left,64910,Financial and insurance activities,Financial leasing,1
Left,80100,Administrative and support service activities,Private security activities,1
Left,63110,Information and communication,"Data processing, hosting and related activities",1
Left,66290,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,1
Left,58190,Information and communication,Other publishing activities,1
Left,66190,Financial and insurance activities,Activities auxiliary to financial intermediation n.e.c.,1
Left,58141,Information and communication,Publishing of learned journals,1
Left,92000,"Arts, entertainment and recreation",Gambling and betting activities,1
Left,81300,Administrative and support service activities,Landscape service activities,1
Right,74990,"Professional, scientific and technical activities",Non-trading company non trading,50
Right,82990,Administrative and support service activities,Other business support service activities n.e.c.,50
Right,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,36
Right,70100,"Professional, scientific and technical activities",Activities of head offices,34
Right,85590,Education,Other education n.e.c.,20
Right,68100,Real estate activities,Buying and selling of own real estate,19
Right,68209,Real estate activities,Other letting and operating of own or leased real estate,18
Right,66300,Financial and insurance activities,Fund management activities,18
Right,41100,Construction,Development of building projects,17
Right,64999,Financial and insurance activities,Financial intermediation not elsewhere classified,16
Right,55100,Accommodation and food service activities,Hotels and similar accommodation,13
Right,58110,Information and communication,Book publishing,12
Right,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,11
Right,58141,Information and communication,Publishing of learned journals,10
Right,99999,Activities of extraterritorial organisations and bodies,Dormant Company,10
Right,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,9
Right,85310,Education,General secondary education,9
Right,64205,Financial and insurance activities,Activities of financial services holding companies,8
Right,64301,Financial and insurance activities,Activities of investment trusts,8
Right,85200,Education,Primary education,8
Right,96090,Other service activities,Other service activities n.e.c.,7
Right,86900,Human health and social work activities,Other human health activities,7
Right,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.,7
Right,66120,Financial and insurance activities,Security and commodity contracts dealing activities,6
Right,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,6
Right,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",5
Right,68320,Real estate activities,Management of real estate on a fee or contract basis,5
Right,58190,Information and communication,Other publishing activities,4
Right,58142,Information and communication,Publishing of consumer and business journals and periodicals,4
Right,56101,Accommodation and food service activities,Licenced restaurants,4
Right,85422,Education,Post-graduate level higher education,4
Right,85600,Education,Educational support services,4
Right,07290,Mining and Quarrying,Mining of other non-ferrous metal ores,4
Right,85421,Education,First-degree level higher education,4
Right,62090,Information and communication,Other information technology service activities,4
Right,94990,Other service activities,Activities of other membership organisations n.e.c.,4
Right,65120,Financial and insurance activities,Non-life insurance,4
Right,90030,"Arts, entertainment and recreation",Artistic creation,4
Right,88100,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,3
Right,90020,"Arts, entertainment and recreation",Support activities to performing arts,3
Right,91030,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,3
Right,94120,Other service activities,Activities of professional membership organisations,3
Right,93199,"Arts, entertainment and recreation",Other sports activities,3
Right,87300,Human health and social work activities,Residential care activities for the elderly and disabled,3
Right,66190,Financial and insurance activities,Activities auxiliary to financial intermediation n.e.c.,3
Right,91020,"Arts, entertainment and recreation",Museums activities,2
Right,64991,Financial and insurance activities,Security dealing on own account,2
Right,90040,"Arts, entertainment and recreation",Operation of arts facilities,2
Right,68201,Real estate activities,Renting and operating of Housing Association real estate,2
Right,85320,Education,Technical and vocational secondary education,2
Right,82110,Administrative and support service activities,Combined office administrative service activities,2
Right,96030,Other service activities,Funeral and related activities,2
Right,74100,"Professional, scientific and technical activities",specialised design activities,2
Right,60200,Information and communication,Television programming and broadcasting activities,2
Right,70221,"Professional, scientific and technical activities",Financial management,2
Right,62020,Information and communication,Information technology consultancy activities,2
Right,41201,Construction,Construction of commercial buildings,2
Right,66290,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,2
Right,87900,Human health and social work activities,Other residential care activities n.e.c.,2
Right,90010,"Arts, entertainment and recreation",Performing arts,2
Right,70210,"Professional, scientific and technical activities",Public relations and communications activities,2
Right,46160,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",2
Right,63120,Information and communication,Web portals,2
Right,93110,"Arts, entertainment and recreation",Operation of sports facilities,2
Right,64303,Financial and insurance activities,Activities of venture and development capital companies,2
Right,88910,Human health and social work activities,Child day-care activities,1
Right,47290,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of food in specialised stores,1
Right,58290,Information and communication,Other software publishing,1
Right,46342,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of wine, beer, spirits and other alcoholic beverages",1
Right,64202,Financial and insurance activities,Activities of production holding companies,1
Right,61900,Information and communication,Other telecommunications activities,1
Right,51102,Transportation and storage,Non-scheduled passenger air transport,1
Right,78109,Administrative and support service activities,Other activities of employment placement agencies,1
Right,92000,"Arts, entertainment and recreation",Gambling and betting activities,1
Right,52290,Transportation and storage,Other transportation support activities,1
Right,58130,Information and communication,Publishing of newspapers,1
Right,64306,Financial and insurance activities,Activities of real estate investment trusts,1
Right,01110,"Agriculture, Forestry and Fishing","Growing of cereals (except rice), leguminous crops and oil seeds",1
Right,93290,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,1
Right,75000,"Professional, scientific and technical activities",Veterinary activities,1
Right,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity,1
Right,86101,Human health and social work activities,Hospital activities,1
Right,87100,Human health and social work activities,Residential nursing care facilities,1
Right,72190,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,1
Right,73110,"Professional, scientific and technical activities",Advertising agencies,1
Right,94110,Other service activities,Activities of business and employers membership organisations,1
Right,41202,Construction,Construction of domestic buildings,1
Right,66220,Financial and insurance activities,Activities of insurance agents and brokers,1
Right,63910,Information and communication,News agency activities,1
Right,62030,Information and communication,Computer facilities management activities,1
Right,65110,Financial and insurance activities,Life insurance,1
Right,65202,Financial and insurance activities,Non-life reinsurance,1
Right,73200,"Professional, scientific and technical activities",Market research and public opinion polling,1
Right,84120,Public administration and defence; compulsory social security,"Regulation of health care, education, cultural and other social services, not incl. social security",1
