PoliticalWing,SicCode,SicCodeCategory,SicCodeDescription,Count
Left,85590,Education,Other education n.e.c.,65
Left,82990,Administrative and support service activities,Other business support service activities n.e.c.,52
Left,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,32
Left,74990,"Professional, scientific and technical activities",Non-trading company non trading,27
Left,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,20
Left,94920,Other service activities,Activities of political organisations,19
Left,70100,"Professional, scientific and technical activities",Activities of head offices,18
Left,59113,Information and communication,Television programme production activities,18
Left,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",14
Left,58190,Information and communication,Other publishing activities,14
Left,96090,Other service activities,Other service activities n.e.c.,13
Left,99999,Activities of extraterritorial organisations and bodies,Dormant Company,13
Left,94110,Other service activities,Activities of business and employers membership organisations,11
Left,86900,Human health and social work activities,Other human health activities,11
Left,90030,"Arts, entertainment and recreation",Artistic creation,11
Left,70210,"Professional, scientific and technical activities",Public relations and communications activities,9
Left,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.,9
Left,90020,"Arts, entertainment and recreation",Support activities to performing arts,8
Left,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,7
Left,56101,Accommodation and food service activities,Licenced restaurants,7
Left,90010,"Arts, entertainment and recreation",Performing arts,7
Left,64921,Financial and insurance activities,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,7
Left,56210,Accommodation and food service activities,Event catering activities,6
Left,85600,Education,Educational support services,6
Left,68209,Real estate activities,Other letting and operating of own or leased real estate,5
Left,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,5
Left,85520,Education,Cultural education,5
Left,85320,Education,Technical and vocational secondary education,5
Left,64205,Financial and insurance activities,Activities of financial services holding companies,5
Left,85410,Education,Post-secondary non-tertiary education,4
Left,68100,Real estate activities,Buying and selling of own real estate,4
Left,90040,"Arts, entertainment and recreation",Operation of arts facilities,4
Left,62012,Information and communication,Business and domestic software development,4
Left,94990,Other service activities,Activities of other membership organisations n.e.c.,4
Left,94120,Other service activities,Activities of professional membership organisations,4
Left,59132,Information and communication,Video distribution activities,4
Left,35140,"Electricity, gas, steam and air conditioning supply",Trade of electricity,4
Left,35230,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains,4
Left,55900,Accommodation and food service activities,Other accommodation,4
Left,65300,Financial and insurance activities,Pension funding,4
Left,87300,Human health and social work activities,Residential care activities for the elderly and disabled,4
Left,58110,Information and communication,Book publishing,4
Left,64303,Financial and insurance activities,Activities of venture and development capital companies,3
Left,63990,Information and communication,Other information service activities n.e.c.,3
Left,62020,Information and communication,Information technology consultancy activities,3
Left,86101,Human health and social work activities,Hospital activities,3
Left,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet,3
Left,59111,Information and communication,Motion picture production activities,3
Left,85310,Education,General secondary education,3
Left,85422,Education,Post-graduate level higher education,3
Left,66300,Financial and insurance activities,Fund management activities,2
Left,41100,Construction,Development of building projects,2
Left,56302,Accommodation and food service activities,Public houses and bars,2
Left,01500,"Agriculture, Forestry and Fishing",Mixed farming,2
Left,72190,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,2
Left,59131,Information and communication,Motion picture distribution activities,2
Left,86210,Human health and social work activities,General medical practice activities,2
Left,87200,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",2
Left,87100,Human health and social work activities,Residential nursing care facilities,2
Left,85200,Education,Primary education,2
Left,49100,Transportation and storage,"Passenger rail transport, interurban",2
Left,68320,Real estate activities,Management of real estate on a fee or contract basis,2
Left,93199,"Arts, entertainment and recreation",Other sports activities,2
Left,74901,"Professional, scientific and technical activities",Environmental consulting activities,2
Left,69202,"Professional, scientific and technical activities",Bookkeeping activities,2
Left,66290,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,2
Left,73110,"Professional, scientific and technical activities",Advertising agencies,1
Left,32990,Manufacturing,Other manufacturing n.e.c.,1
Left,84110,Public administration and defence; compulsory social security,General public administration activities,1
Left,47789,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),1
Left,47820,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale via stalls and markets of textiles, clothing and footwear",1
Left,93290,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,1
Left,41201,Construction,Construction of commercial buildings,1
Left,41202,Construction,Construction of domestic buildings,1
Left,11050,Manufacturing,Manufacture of beer,1
Left,10710,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,1
Left,47210,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of fruit and vegetables in specialised stores,1
Left,70221,"Professional, scientific and technical activities",Financial management,1
Left,03120,"Agriculture, Forestry and Fishing",Freshwater fishing,1
Left,63110,Information and communication,"Data processing, hosting and related activities",1
Left,85421,Education,First-degree level higher education,1
Left,62011,Information and communication,Ready-made interactive leisure and entertainment software development,1
Left,01610,"Agriculture, Forestry and Fishing",Support activities for crop production,1
Left,01629,"Agriculture, Forestry and Fishing",Support activities for animal production (other than farm animal boarding and care) n.e.c.,1
Left,71111,"Professional, scientific and technical activities",Architectural activities,1
Left,88100,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,1
Left,59112,Information and communication,Video production activities,1
Left,47781,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in commercial art galleries,1
Left,74100,"Professional, scientific and technical activities",specialised design activities,1
Left,84230,Public administration and defence; compulsory social security,Justice and judicial activities,1
Left,82302,Administrative and support service activities,Activities of conference organisers,1
Left,49319,Transportation and storage,"Other urban, suburban or metropolitan passenger land transport (not underground, metro or similar)",1
Left,56301,Accommodation and food service activities,Licenced clubs,1
Left,66110,Financial and insurance activities,Administration of financial markets,1
Left,80100,Administrative and support service activities,Private security activities,1
Left,74300,"Professional, scientific and technical activities",Translation and interpretation activities,1
Left,63120,Information and communication,Web portals,1
Left,69201,"Professional, scientific and technical activities",Accounting and auditing activities,1
Left,77210,Administrative and support service activities,Renting and leasing of recreational and sports goods,1
Left,47610,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of books in specialised stores,1
Left,26200,Manufacturing,Manufacture of computers and peripheral equipment,1
Left,64301,Financial and insurance activities,Activities of investment trusts,1
Left,64991,Financial and insurance activities,Security dealing on own account,1
Left,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets",1
Left,79120,Administrative and support service activities,Tour operator activities,1
Right,82990,Administrative and support service activities,Other business support service activities n.e.c.,227
Right,68209,Real estate activities,Other letting and operating of own or leased real estate,84
Right,85590,Education,Other education n.e.c.,76
Right,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,70
Right,74990,"Professional, scientific and technical activities",Non-trading company non trading,60
Right,68100,Real estate activities,Buying and selling of own real estate,56
Right,70100,"Professional, scientific and technical activities",Activities of head offices,42
Right,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,40
Right,64999,Financial and insurance activities,Financial intermediation not elsewhere classified,28
Right,99999,Activities of extraterritorial organisations and bodies,Dormant Company,27
Right,41100,Construction,Development of building projects,24
Right,96090,Other service activities,Other service activities n.e.c.,21
Right,85310,Education,General secondary education,19
Right,86900,Human health and social work activities,Other human health activities,18
Right,58141,Information and communication,Publishing of learned journals,18
Right,58110,Information and communication,Book publishing,18
Right,66300,Financial and insurance activities,Fund management activities,15
Right,64205,Financial and insurance activities,Activities of financial services holding companies,14
Right,85600,Education,Educational support services,13
Right,55100,Accommodation and food service activities,Hotels and similar accommodation,13
Right,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,12
Right,68320,Real estate activities,Management of real estate on a fee or contract basis,12
Right,62012,Information and communication,Business and domestic software development,11
Right,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",10
Right,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.,9
Right,64301,Financial and insurance activities,Activities of investment trusts,9
Right,85520,Education,Cultural education,8
Right,94990,Other service activities,Activities of other membership organisations n.e.c.,8
Right,82302,Administrative and support service activities,Activities of conference organisers,8
Right,85200,Education,Primary education,7
Right,93199,"Arts, entertainment and recreation",Other sports activities,6
Right,70210,"Professional, scientific and technical activities",Public relations and communications activities,6
Right,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,6
Right,72190,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,6
Right,90030,"Arts, entertainment and recreation",Artistic creation,6
Right,63990,Information and communication,Other information service activities n.e.c.,5
Right,94920,Other service activities,Activities of political organisations,5
Right,58142,Information and communication,Publishing of consumer and business journals and periodicals,5
Right,62090,Information and communication,Other information technology service activities,5
Right,58290,Information and communication,Other software publishing,5
Right,93290,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,5
Right,68201,Real estate activities,Renting and operating of Housing Association real estate,5
Right,64191,Financial and insurance activities,Banks,5
Right,74100,"Professional, scientific and technical activities",specialised design activities,5
Right,86220,Human health and social work activities,Specialists medical practice activities,4
Right,91020,"Arts, entertainment and recreation",Museums activities,4
Right,65120,Financial and insurance activities,Non-life insurance,4
Right,93110,"Arts, entertainment and recreation",Operation of sports facilities,4
Right,41201,Construction,Construction of commercial buildings,4
Right,41202,Construction,Construction of domestic buildings,4
Right,64991,Financial and insurance activities,Security dealing on own account,4
Right,86210,Human health and social work activities,General medical practice activities,3
Right,85510,Education,Sports and recreation education,3
Right,08990,Mining and Quarrying,Other mining and quarrying n.e.c.,3
Right,94110,Other service activities,Activities of business and employers membership organisations,3
Right,94120,Other service activities,Activities of professional membership organisations,3
Right,90020,"Arts, entertainment and recreation",Support activities to performing arts,3
Right,72110,"Professional, scientific and technical activities",Research and experimental development on biotechnology,3
Right,46342,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of wine, beer, spirits and other alcoholic beverages",3
Right,90010,"Arts, entertainment and recreation",Performing arts,3
Right,91030,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,3
Right,66190,Financial and insurance activities,Activities auxiliary to financial intermediation n.e.c.,3
Right,62020,Information and communication,Information technology consultancy activities,3
Right,85320,Education,Technical and vocational secondary education,3
Right,79909,Administrative and support service activities,Other reservation service activities n.e.c.,3
Right,64303,Financial and insurance activities,Activities of venture and development capital companies,3
Right,56290,Accommodation and food service activities,Other food services,3
Right,87200,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",2
Right,87300,Human health and social work activities,Residential care activities for the elderly and disabled,2
Right,81299,Administrative and support service activities,Other cleaning services,2
Right,62011,Information and communication,Ready-made interactive leisure and entertainment software development,2
Right,71129,"Professional, scientific and technical activities",Other engineering activities,2
Right,01500,"Agriculture, Forestry and Fishing",Mixed farming,2
Right,56101,Accommodation and food service activities,Licenced restaurants,2
Right,70221,"Professional, scientific and technical activities",Financial management,2
Right,30300,Manufacturing,Manufacture of air and spacecraft and related machinery,2
Right,93191,"Arts, entertainment and recreation",Activities of racehorse owners,2
Right,66120,Financial and insurance activities,Security and commodity contracts dealing activities,2
Right,58130,Information and communication,Publishing of newspapers,2
Right,06200,Mining and Quarrying,Extraction of natural gas,2
Right,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets",2
Right,73200,"Professional, scientific and technical activities",Market research and public opinion polling,2
Right,82110,Administrative and support service activities,Combined office administrative service activities,2
Right,85422,Education,Post-graduate level higher education,2
Right,58190,Information and communication,Other publishing activities,2
Right,01130,"Agriculture, Forestry and Fishing","Growing of vegetables and melons, roots and tubers",2
Right,90040,"Arts, entertainment and recreation",Operation of arts facilities,2
Right,59111,Information and communication,Motion picture production activities,2
Right,43290,Construction,Other construction installation,2
Right,81100,Administrative and support service activities,Combined facilities support activities,1
Right,47749,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c.,1
Right,99000,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies,1
Right,87100,Human health and social work activities,Residential nursing care facilities,1
Right,66110,Financial and insurance activities,Administration of financial markets,1
Right,58210,Information and communication,Publishing of computer games,1
Right,38320,"Water supply, sewerage, waste management and remediation activities",Recovery of sorted materials,1
Right,36000,"Water supply, sewerage, waste management and remediation activities","Water collection, treatment and supply",1
Right,56302,Accommodation and food service activities,Public houses and bars,1
Right,47290,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of food in specialised stores,1
Right,28922,Manufacturing,Manufacture of earthmoving equipment,1
Right,64202,Financial and insurance activities,Activities of production holding companies,1
Right,01430,"Agriculture, Forestry and Fishing",Raising of horses and other equines,1
Right,51102,Transportation and storage,Non-scheduled passenger air transport,1
Right,56301,Accommodation and food service activities,Licenced clubs,1
Right,68202,Real estate activities,Letting and operating of conference and exhibition centres,1
Right,06100,Mining and Quarrying,Extraction of crude petroleum,1
Right,05102,Mining and Quarrying,Open cast coal working,1
Right,07290,Mining and Quarrying,Mining of other non-ferrous metal ores,1
Right,01110,"Agriculture, Forestry and Fishing","Growing of cereals (except rice), leguminous crops and oil seeds",1
Right,47799,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other second-hand goods in stores (not incl. antiques),1
Right,85421,Education,First-degree level higher education,1
Right,02100,"Agriculture, Forestry and Fishing",Silviculture and other forestry activities,1
Right,08120,Mining and Quarrying,Operation of gravel and sand pits; mining of clays and kaolin,1
Right,39000,"Water supply, sewerage, waste management and remediation activities",Remediation activities and other waste management services,1
Right,86102,Human health and social work activities,Medical nursing home activities,1
Right,60200,Information and communication,Television programming and broadcasting activities,1
Right,47640,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",1
Right,55900,Accommodation and food service activities,Other accommodation,1
Right,11050,Manufacturing,Manufacture of beer,1
Right,11020,Manufacturing,Manufacture of wine from grape,1
Right,46900,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialised wholesale trade,1
Right,14132,Manufacturing,Manufacture of other women's outerwear,1
Right,46420,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of clothing and footwear,1
Right,59113,Information and communication,Television programme production activities,1
Right,64922,Financial and insurance activities,Activities of mortgage finance companies,1
Right,63110,Information and communication,"Data processing, hosting and related activities",1
Right,63910,Information and communication,News agency activities,1
Right,62030,Information and communication,Computer facilities management activities,1
Right,85100,Education,Pre-primary education,1
Right,65110,Financial and insurance activities,Life insurance,1
Right,47770,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of watches and jewellery in specialised stores,1
Right,96020,Other service activities,Hairdressing and other beauty treatment,1
Right,61200,Information and communication,Wireless telecommunications activities,1
