PoliticalWing,SicCodeCategory,Count
Left,"Professional, scientific and technical activities",155
Left,Education,127
Left,"Arts, entertainment and recreation",57
Left,Information and communication,52
Left,Administrative and support service activities,35
Left,Other service activities,33
Left,Financial and insurance activities,24
Left,Human health and social work activities,23
Left,Accommodation and food service activities,16
Left,"Electricity, gas, steam and air conditioning supply",16
Left,Activities of extraterritorial organisations and bodies,11
Left,Wholesale and retail trade; repair of motor vehicles and motorcycles,10
Left,Real estate activities,7
Left,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6
Left,Transportation and storage,6
Left,Manufacturing,4
Left,"Agriculture, Forestry and Fishing",4
Left,Construction,3
Left,"Water supply, sewerage, waste management and remediation activities",1
Left,Public administration and defence; compulsory social security,1
Right,"Professional, scientific and technical activities",211
Right,Administrative and support service activities,168
Right,Financial and insurance activities,103
Right,Education,75
Right,Information and communication,72
Right,Real estate activities,70
Right,Other service activities,34
Right,Human health and social work activities,33
Right,"Arts, entertainment and recreation",31
Right,Construction,25
Right,Accommodation and food service activities,21
Right,Activities of extraterritorial organisations and bodies,19
Right,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,15
Right,Wholesale and retail trade; repair of motor vehicles and motorcycles,14
Right,Mining and Quarrying,7
Right,Manufacturing,5
Right,Transportation and storage,3
Right,"Agriculture, Forestry and Fishing",2
Right,"Electricity, gas, steam and air conditioning supply",2
Right,Public administration and defence; compulsory social security,2
Right,"Water supply, sewerage, waste management and remediation activities",1
