PoliticalWing,SicCodeCategory,Count
Left,"Professional, scientific and technical activities",132
Left,Education,94
Left,Information and communication,59
Left,Administrative and support service activities,56
Left,Other service activities,51
Left,Human health and social work activities,34
Left,Financial and insurance activities,33
Left,"Arts, entertainment and recreation",33
Left,Accommodation and food service activities,20
Left,Activities of extraterritorial organisations and bodies,13
Left,Real estate activities,11
Left,Wholesale and retail trade; repair of motor vehicles and motorcycles,9
Left,"Electricity, gas, steam and air conditioning supply",8
Left,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5
Left,"Agriculture, Forestry and Fishing",5
Left,Manufacturing,4
Left,Construction,4
Left,Transportation and storage,3
Left,Public administration and defence; compulsory social security,2
Right,Administrative and support service activities,243
Right,"Professional, scientific and technical activities",216
Right,Real estate activities,158
Right,Education,133
Right,Financial and insurance activities,132
Right,Information and communication,87
Right,Other service activities,42
Right,Human health and social work activities,41
Right,"Arts, entertainment and recreation",38
Right,Construction,35
Right,Activities of extraterritorial organisations and bodies,28
Right,Accommodation and food service activities,21
Right,Wholesale and retail trade; repair of motor vehicles and motorcycles,12
Right,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,12
Right,Mining and Quarrying,9
Right,"Agriculture, Forestry and Fishing",7
Right,Manufacturing,7
Right,"Water supply, sewerage, waste management and remediation activities",3
Right,Transportation and storage,1
Right,Public administration and defence; compulsory social security,1
Right,"Electricity, gas, steam and air conditioning supply",1
