PoliticalWing,SicCode,SicCodeCategory,SicCodeDescription,Count
Left,47750,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cosmetic and toilet articles in specialised stores,1
Left,66290,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,1
Left,68201,Real estate activities,Renting and operating of Housing Association real estate,1
Left,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets",1
Left,68320,Real estate activities,Management of real estate on a fee or contract basis,1
Left,68100,Real estate activities,Buying and selling of own real estate,1
Left,86220,Human health and social work activities,Specialists medical practice activities,1
Right,82990,Administrative and support service activities,Other business support service activities n.e.c.,156
Right,70100,"Professional, scientific and technical activities",Activities of head offices,61
Right,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,59
Right,74990,"Professional, scientific and technical activities",Non-trading company non trading,53
Right,68209,Real estate activities,Other letting and operating of own or leased real estate,35
Right,85590,Education,Other education n.e.c.,28
Right,68100,Real estate activities,Buying and selling of own real estate,23
Right,41100,Construction,Development of building projects,22
Right,99999,Activities of extraterritorial organisations and bodies,Dormant Company,18
Right,58110,Information and communication,Book publishing,17
Right,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,16
Right,58141,Information and communication,Publishing of learned journals,16
Right,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,15
Right,66300,Financial and insurance activities,Fund management activities,15
Right,55100,Accommodation and food service activities,Hotels and similar accommodation,15
Right,85310,Education,General secondary education,14
Right,64999,Financial and insurance activities,Financial intermediation not elsewhere classified,14
Right,94990,Other service activities,Activities of other membership organisations n.e.c.,13
Right,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.,13
Right,86900,Human health and social work activities,Other human health activities,11
Right,85200,Education,Primary education,11
Right,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",10
Right,65120,Financial and insurance activities,Non-life insurance,10
Right,64205,Financial and insurance activities,Activities of financial services holding companies,8
Right,64301,Financial and insurance activities,Activities of investment trusts,8
Right,85600,Education,Educational support services,8
Right,68320,Real estate activities,Management of real estate on a fee or contract basis,8
Right,82302,Administrative and support service activities,Activities of conference organisers,8
Right,58142,Information and communication,Publishing of consumer and business journals and periodicals,7
Right,96090,Other service activities,Other service activities n.e.c.,7
Right,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,7
Right,93120,"Arts, entertainment and recreation",Activities of sport clubs,6
Right,66120,Financial and insurance activities,Security and commodity contracts dealing activities,6
Right,94110,Other service activities,Activities of business and employers membership organisations,6
Right,93199,"Arts, entertainment and recreation",Other sports activities,5
Right,58190,Information and communication,Other publishing activities,5
Right,62090,Information and communication,Other information technology service activities,5
Right,70210,"Professional, scientific and technical activities",Public relations and communications activities,5
Right,63990,Information and communication,Other information service activities n.e.c.,5
Right,72190,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,5
Right,91020,"Arts, entertainment and recreation",Museums activities,4
Right,56101,Accommodation and food service activities,Licenced restaurants,4
Right,64191,Financial and insurance activities,Banks,4
Right,07290,Mining and Quarrying,Mining of other non-ferrous metal ores,4
Right,85320,Education,Technical and vocational secondary education,4
Right,88100,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,3
Right,68201,Real estate activities,Renting and operating of Housing Association real estate,3
Right,85422,Education,Post-graduate level higher education,3
Right,46342,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of wine, beer, spirits and other alcoholic beverages",3
Right,65202,Financial and insurance activities,Non-life reinsurance,3
Right,65110,Financial and insurance activities,Life insurance,3
Right,91030,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,3
Right,59113,Information and communication,Television programme production activities,3
Right,64929,Financial and insurance activities,Other credit granting n.e.c.,3
Right,93110,"Arts, entertainment and recreation",Operation of sports facilities,3
